,image_id,melanoma,diagnosis,relative_color_variance,r_average,g_average,b_average,r_std,g_std,b_std,average_std,r_range,g_range,b_range,r_pct,g_pct,b_pct,r_low,b_high
0,ISIC_0000000,0.0,not cancerous,0.043465513650960665,0.24736842105263157,0.391025641025641,0.5,0.5487898174848045,0.6356562813111313,0.6200787304912881,0.6600325965162473,0.5675675675675675,0.5922330097087378,0.7101449275362319,0.3399,0.3183,0.3418,0.0932,0.2144
1,ISIC_0000001,0.0,not cancerous,0.14669112142536309,0.19473684210526315,0.1858974358974359,0.17088607594936708,0.4690396724646697,0.3582861777756573,0.23056739968409593,0.36752164612407046,0.5225225225225225,0.3786407766990291,0.3961352657004831,0.4428,0.3104,0.2469,0.1328,0.0
2,ISIC_0000002,1.0,cancerous,0.07114093394326922,0.3736842105263158,0.44871794871794873,0.5443037974683544,0.3065095124801386,0.4704117562860824,0.5648528099910795,0.4804665376387898,0.3918918918918919,0.470873786407767,0.6666666666666666,0.3697,0.3071,0.3233,0.0005,0.2243
3,ISIC_0000003,0.0,not cancerous,0.08554266777133389,0.43157894736842106,0.42948717948717946,0.34810126582278483,0.5511303163540677,0.5508640679421728,0.4276391491869153,0.5509646531526943,0.6486486486486487,0.6067961165048543,0.5458937198067633,0.4319,0.3204,0.2477,0.0024,0.0393
4,ISIC_0000004,1.0,cancerous,0.23260008015318165,0.6631578947368421,0.5384615384615384,0.759493670886076,0.5646722544956243,0.5406918269001384,0.5232811464207089,0.5924966894163187,0.9054054054054054,0.8932038834951457,0.8599033816425121,0.4066,0.2685,0.3249,0.0081,0.4463
5,ISIC_0000006,0.0,not cancerous,0.09256353034338781,0.3368421052631579,0.42948717948717946,0.4240506329113924,0.17014686966683198,0.30401259602080255,0.3761549730335792,0.28789446877864927,0.1981981981981982,0.3155339805825243,0.43478260869565216,0.3813,0.3257,0.293,0.0,0.0355
6,ISIC_0000007,0.0,not cancerous,0.10609514223972055,0.26842105263157895,0.358974358974359,0.379746835443038,0.2933593388763252,0.3854840402690968,0.4034258402965898,0.3779627177345421,0.36936936936936937,0.3932038834951456,0.4830917874396135,0.3782,0.3218,0.3,0.0159,0.0109
7,ISIC_0000008,0.0,not cancerous,0.07777926472556254,0.5052631578947369,0.4551282051282051,0.3860759493670886,0.5424660989163423,0.61639963738728,0.5230323515210044,0.6103636548843842,0.6081081081081081,0.5825242718446602,0.5700483091787439,0.4423,0.3105,0.2472,0.0017,0.0895
8,ISIC_0000009,0.0,not cancerous,0.06423001402524545,0.42105263157894735,0.41025641025641024,0.34810126582278483,0.2997587201237505,0.4006908726561382,0.35159629753905836,0.3644555363145564,0.36486486486486486,0.36893203883495146,0.3864734299516908,0.4318,0.3167,0.2515,0.0,0.0
9,ISIC_0000010,0.0,not cancerous,0.10971701000209384,0.2736842105263158,0.28846153846153844,0.25949367088607594,0.3965951794466536,0.4222205257884441,0.34248091072027764,0.40744422939798314,0.43243243243243246,0.3737864077669903,0.38164251207729466,0.4233,0.3193,0.2574,0.0244,0.0
10,ISIC_0000011,0.0,not cancerous,0.05150739313042978,0.41578947368421054,0.41025641025641024,0.33544303797468356,0.28704907145078984,0.40213368958442675,0.39264090875610735,0.3768625853111949,0.35135135135135137,0.3640776699029126,0.40096618357487923,0.4334,0.3191,0.2475,0.0,0.0
11,ISIC_0000012,0.0,not cancerous,0.1922563068137165,0.29473684210526313,0.21794871794871795,0.25316455696202533,0.31521240195377853,0.21844362803568876,0.2119945330594407,0.24792910257716205,0.32882882882882886,0.2087378640776699,0.2946859903381642,0.4555,0.2818,0.2627,0.0,0.0
12,ISIC_0000013,1.0,cancerous,0.10172226805942577,0.35789473684210527,0.3269230769230769,0.2848101265822785,0.6766109845395927,0.578115368099623,0.43229750632217306,0.6132749312417236,0.7027027027027027,0.5436893203883495,0.5507246376811594,0.4424,0.3084,0.2493,0.0649,0.0306
13,ISIC_0000014,0.0,not cancerous,0.03230828936547684,0.5105263157894737,0.5641025641025641,0.5,0.16178194015922792,0.2323507800944702,0.35255546734976145,0.24922481409799327,0.22972972972972974,0.2912621359223301,0.4927536231884058,0.4033,0.3251,0.2716,0.0,0.0579
14,ISIC_0000015,0.0,not cancerous,0.08262737078992069,0.45789473684210524,0.40384615384615385,0.34177215189873417,0.31758316589462715,0.4875938737535188,0.5055725147108169,0.46645818478150153,0.34234234234234234,0.46116504854368934,0.5603864734299517,0.4471,0.309,0.2439,0.0,0.063
15,ISIC_0000016,0.0,not cancerous,0.0866302399573299,0.3,0.391025641025641,0.4620253164556962,0.4734197008802091,0.5303592728660719,0.51728715350809,0.5494774370989101,0.5,0.47572815533980584,0.6086956521739131,0.367,0.3145,0.3185,0.0338,0.1546
16,ISIC_0000017,0.0,not cancerous,0.05581610410198824,0.3473684210526316,0.28846153846153844,0.2468354430379747,0.3950045817955594,0.4463170952812634,0.33426740541292593,0.411969033309565,0.4369369369369369,0.4223300970873786,0.4057971014492754,0.4596,0.3033,0.2371,0.0,0.0
17,ISIC_0000018,0.0,not cancerous,0.0302985707072373,0.45789473684210524,0.4423076923076923,0.3924050632911392,0.2492395900764193,0.3083505892456701,0.30572637471458153,0.29216257512478355,0.26576576576576577,0.3106796116504854,0.38164251207729466,0.4267,0.3137,0.2596,0.0,0.0004
